season,division,date,home,away,home_goals,away_goals
2023,6,2023-12-13,Paraguay,Kazakhstan,36,30
2023,6,2023-12-12,Netherlands,Norway,23,30
2023,6,2023-12-12,France,Czech Republic,33,22
2023,6,2023-12-11,Germany,Denmark,28,30
2023,6,2023-12-11,Montenegro,Sweden,25,32
2023,6,2023-12-11,Hungary,Croatia,23,22
2023,6,2023-12-11,Poland,Romania,26,27
2023,6,2023-12-11,Iceland,China,30,23
2023,6,2023-12-11,Japan,Serbia,22,20
2023,6,2023-12-11,Iran,Kazakhstan,29,33
2023,6,2023-12-10,France,Norway,24,23
2023,6,2023-12-10,Slovenia,Austria,32,27
2023,6,2023-12-10,Netherlands,Spain,29,21
2023,6,2023-12-10,Angola,South Korea,33,31
2023,6,2023-12-10,Czech Republic,Brazil,27,30
2023,6,2023-12-10,Argentina,Ukraine,25,20
2023,6,2023-12-09,Hungary,Sweden,22,26
2023,6,2023-12-09,Poland,Denmark,22,32
2023,6,2023-12-09,Serbia,Germany,21,31
2023,6,2023-12-09,Paraguay,Iceland,19,25
2023,6,2023-12-09,Romania,Japan,32,28
2023,6,2023-12-09,Senegal,Montenegro,21,29
2023,6,2023-12-08,Slovenia,Norway,21,34
2023,6,2023-12-08,Ukraine,Netherlands,21,40
2023,6,2023-12-08,Czech Republic,Spain,30,22
2023,6,2023-12-08,South Korea,France,22,32
2023,6,2023-12-08,Austria,Angola,25,30
2023,6,2023-12-08,Brazil,Argentina,33,19
2023,6,2023-12-07,Denmark,Japan,26,27
2023,6,2023-12-07,Germany,Romania,24,22
2023,6,2023-12-07,Senegal,Hungary,20,30
2023,6,2023-12-07,Montenegro,Croatia,25,26
2023,6,2023-12-07,Serbia,Poland,21,22
2023,6,2023-12-07,China,Paraguay,23,20
2023,6,2023-12-06,Netherlands,Brazil,35,27
2023,6,2023-12-06,Norway,Angola,37,19
2023,6,2023-12-06,France,Austria,41,27
2023,6,2023-12-06,Spain,Argentina,30,23
2023,6,2023-12-06,South Korea,Slovenia,27,31
2023,6,2023-12-06,Ukraine,Czech Republic,23,30
2023,6,2023-12-05,Denmark,Romania,39,23
2023,6,2023-12-05,Sweden,Croatia,22,17
2023,6,2023-12-05,China,Senegal,15,22
2023,6,2023-12-04,France,Slovenia,31,27
2023,6,2023-12-04,Germany,Poland,33,17
2023,6,2023-12-04,Montenegro,Hungary,24,18
2023,6,2023-12-04,Netherlands,Czech Republic,33,20
2023,6,2023-12-04,Angola,Iceland,26,26
2023,6,2023-12-04,Japan,Iran,42,10
2023,6,2023-12-03,Norway,South Korea,33,23
2023,6,2023-12-03,Brazil,Spain,25,27
2023,6,2023-12-03,Romania,Serbia,37,28
2023,6,2023-12-03,Senegal,Sweden,18,26
2023,6,2023-12-03,Croatia,China,39,13
2023,6,2023-12-03,Ukraine,Kazakhstan,37,24
2023,6,2023-12-02,Poland,Japan,32,30
2023,6,2023-12-02,Iceland,France,22,31
2023,6,2023-12-02,Iran,Germany,22,45
2023,6,2023-12-02,Paraguay,Montenegro,26,41
2023,6,2023-12-02,Czech Republic,Argentina,31,22
2023,6,2023-12-02,Slovenia,Angola,30,24
2023,6,2023-12-01,Austria,Norway,28,45
2023,6,2023-12-01,Denmark,Serbia,25,21
2023,6,2023-12-01,Spain,Ukraine,32,20
2023,6,2023-12-01,Sweden,China,36,24
2023,6,2023-12-01,Croatia,Senegal,22,22
2023,6,2023-12-01,Kazakhstan,Brazil,15,46
2023,6,2023-11-30,France,Angola,30,29
2023,6,2023-11-30,Hungary,Paraguay,35,12
2023,6,2023-11-30,Poland,Iran,35,15
2023,6,2023-11-30,Germany,Japan,31,30
2023,6,2023-11-30,Netherlands,Argentina,41,26
2023,6,2023-11-30,Slovenia,Iceland,30,24
2023,6,2023-11-29,Spain,Kazakhstan,34,17
2023,6,2023-11-29,Brazil,Ukraine,35,20
2023,6,2023-11-29,South Korea,Austria,29,30
2023,4,2023-11-27,Croatia,Montenegro,26,25
2023,4,2023-11-26,Sweden,Germany,30,23
2023,4,2023-11-26,Denmark,Brazil,33,16
2023,4,2023-11-26,Netherlands,Hungary,32,34
2023,4,2023-11-26,Belarus,Russia,24,34
2023,4,2023-11-26,Spain,Serbia,24,18
2023,4,2023-11-26,Japan,Argentina,29,21
2023,4,2023-11-25,Netherlands,Hungary,25,23
2023,4,2023-11-25,Spain,Argentina,26,20
2023,4,2023-11-25,Romania,Austria,41,35
2023,4,2023-11-25,Denmark,Brazil,34,24
2023,4,2023-11-25,Belarus,Russia,28,32
2023,4,2023-11-25,Serbia,Japan,22,38
2023,4,2023-11-25,Czech Republic,Slovakia,27,23
2023,4,2023-11-25,Portugal,Switzerland,32,34
2023,4,2023-11-24,Sweden,Germany,30,33
2023,4,2023-11-24,Spain,Japan,29,31
2023,4,2023-11-24,Romania,Portugal,32,22
2023,4,2023-11-24,Argentina,Serbia,18,28
2023,4,2023-11-24,Switzerland,Austria,33,34
2023,4,2023-11-23,Romania,Switzerland,33,28
